conversation_id,customer_text,historical_reply,suggested_intent,gold_intent,gold_action,gold_reply_quality,label_notes
1770983_1770982,@AppleSupport Why is my iphone 6s unusable after the update? Constantly freezing and the speaker for the phone often not working. This is ridiculous.,"@532377 We can help you with your iPhone. DM us, and we'll look into what's going on. <URL>",ios_update_issue,,,,
1748933_1748936,"@AppleSupport Beforehand, I never had any problems. Perhaps, you should consider making a stronger battery for the upcoming iPhones. Thanks again!","@527160 If you'd like, we'd be happy to look into your decreased battery life together. If so, please join us in DM to get started. <URL>",battery_issue,,,,
1146750_1146752,@AppleSupport My iPhone 6,@389905 Where are you seeing these ads? Which iOS version are you running in Settings &gt; General &gt; About &gt; Version?,app_issue,,,,
1565168_1565167,@483205 @483206 @115858 Lmaooo hell yeah bro! Apple fix this shit!!!,@483204 We'd like to offer some guidance with this. Check out these steps for help with what you're seeing: <URL>,app_issue,,,,
620067_620066,"@AppleSupport Sometimes apps are freezing like these, why usually its message app , rare music app","@267168 It's important to stay connected with friends and family using the Messages app. Let's work together to get this sorted out, along with the issue with the Apple Music app. Which iOS version is running on your iPhone? Tap on Settings &gt; General &gt; About to find out.",app_issue,,,,
2278876_2278875,@AppleSupport hey can you help me please ?,@320698 We're glad to help. What issues are you having?,general_support,,,,
1698424_1698423,@AppleSupport I️ can’t type the letter I️ without it changing it to this,@515127 Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,app_issue,,,,
1143480_1143479,"Hello @AppleSupport, can you chevk you dm’s please ? 🙂",@389128 Hi there. We've received your DM and will continue working with you there shortly.,app_issue,,,,
852578_852577,"Top iOS update, erased all my @115948 downloads! 😡 @AppleSupport any help?","@322541 Hey, we'll help you get your music back. Send us a DM and we'll take a look into this together. <URL>",ios_update_issue,,,,
1352270_1352269,@115858 help why is my October Challenge different??? Where is the 28 Activity Day one? I’ve been hitting my goal everyday for that. <URL>,@435352 Thanks for reaching out. We would recommend taking a look at this article to help you out: <URL>,general_support,,,,
2799921_2799917,#iOS 11.2 beta 4 problem with phone app not working properly. Fix ASAP @115858,@252361 What issues are you currently having with your iPhone? We'd be happy to look into it with you.,ios_update_issue,,,,
2077594_2077593,@AppleSupport the new update has messed my phone up even more and my whole camera roll has just deleted and i can’t access the app store :)),@614453 We want to be sure you have access to your photos and the App Store. Send us a DM and we'll look into this with you. <URL>,app_issue,,,,
1409710_1409708,"@AppleSupport my wife’s iphone 8 froze on the update, she can’t turn it off or reboot it ..and when connected to the laptop ,nothing ...","@447666 Have you yet been through the steps in this article? <URL> Let us know, we're glad to work with you.",ios_update_issue,,,,
2271759_2271758,"@AppleSupport my battery is draining very fast, can you either fix it or replace my battery may be?","@660917 We'll be happy to look into your battery concerns and get your iPhone lasting as expected. To get started, we want to be sure you're running the latest software. Go ahead and let us know which iOS version you have installed, located under Settings &gt; General &gt; About.",battery_issue,,,,
1557363_1557362,Apple Airpods is the worst Bluetooth device ever used. Disconnecting at will and have to remove/device for reconnection each time. @115858,@481403 We want to help with your AirPods. Reach out to us in DM. <URL>,connectivity_issue,,,,
519290_519289,look @115858 I don’t know what’s going on but y’all need to get your shit together. all of my apple products have been fucking up the past few months.,@239827 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. <URL>,app_issue,,,,
1165740_1165742,@AppleSupport We’ve been through this before. Nothing was fixed.,@394200 We’d like to understand more about this situation. Please DM us some details and we’ll take it from there. <URL>,app_issue,,,,
1484387_1484386,@AppleSupport can y’all fix this bug that is messing with the ability to type the letter “eye” because it just does this &gt; I️,@464715 Send us a DM and let us know which device and iOS version you're using. We can address it there. <URL>,app_issue,,,,
882612_882611,"@AppleSupport Facing LOTS of frequent crashes in new Safari 11 (El Capitan, MBP Late 2011). Plz fix it asap.",@329578 Thanks for contacting us. Are you experiencing this when you go to a specific website? Have you tried restarting your Mac?,device_performance,,,,
1783289_1783288,@115858 @AppleSupport: My phone crashed 4 Times today. Is iOS 11 still in beta? #iOS11=WindowsVista,@204370 We'd be happy to review this further for you. Please DM us with additional details and we'll go from there. <URL>,ios_update_issue,,,,
486105_486104,@AppleSupport Is there no way I can use a direct email to talk with a member of customer services please?,"@230642 Thanks for reaching out to us for support. We would love to help you. When you have a free moment, please check out the following link to learn about the various ways that you can contact us: <URL>",app_issue,,,,
1544929_1544928,@AppleSupport I thought y’all said the facial recognition wouldn’t be able to be unlocked by a photo,@478507 Let's talk more about this. Please DM us. <URL>,app_issue,,,,
455076_455075,5 hours in of texting her and um? my eyes hurt why isn’t there a dark setting? @115858 fix this <URL>,"@223024 Thanks for contacting us. We have several ways to change the display brightness on your device and we're happy to help. To start, let us know what model device and version of software you're using.",general_support,,,,
1895672_1895671,"@AppleSupport my map stopped working today. reset network settings, rebooted. Error after 5 seconds: request timed out. For all locations <URL>",@483282 Thanks for reaching out. DM which iPhone and specific iOS version you are using currently so we can help. <URL>,app_issue,,,,
1246431_1246432,@AppleSupport I’m having trouble remembering information to an old iTunes account and I’m trying to get back in,"@188307 Got it. Did you forget the password for that account? If so this article will help: <URL> Questions, DM us. <URL>",app_issue,,,,
1849343_1849342,@AppleSupport my laptop is turning on but the screen is black. What do I do?,"@553721 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. <URL>",screen_display_issue,,,,
1803258_1803256,@AppleSupport @115858 Whatever you’ve done with the last iPhone update please undo it! Phone keeps freezing &amp; is now v.slow.,@541847 We'd be happy to look into this with you. Can you DM us the exact version of iOS running? Go to Settings &gt; General &gt; About. <URL>,device_performance,,,,
42618_42616,@AppleSupport my iPhone 8 lock screen music controls always freeze specifically the elapsed time of a song I can still control. Visual bug,@125418 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,device_performance,,,,
1194068_1194070,@AppleSupport WiFi etc are all on. I have done “forever” and “renew lease”. I have restarted devices. It connects to personal hotspot but not networks,@400572 Let's see if the info from this article helps at all. <URL>,connectivity_issue,,,,
2964163_2964162,is there only one size for the iPhone x? @AppleSupport,@817859 Thanks for your interest in the iPhone X! There is only a single size. Check it out here: <URL>,app_issue,,,,
2614198_2614197,Just wanted to see if this shit still broken @AppleSupport,"@739011 Are you still seeing an issue with the letter i autocorrect? If so, let us know which iOS version you currently have installed under Settings &gt; General &gt; About. We'll definitely be able to assist today.",app_issue,,,,
118020_118019,Soy sólo yo...o a ustedes también les pasa que a toda hora se les enciende el WIFI del teléfono desde la nueva actualización del #iOS ? @AppleSupport,@142165 We offer support via Twitter in English. Get help in Spanish here: <URL> or join <URL>,ios_update_issue,,,,
1936749_1936750,@AppleSupport I just restarted for a second time and it now works.,"@576189 We’re glad to hear that. If you need any further help, let us know.",app_issue,,,,
1238226_1267673,@AppleSupport @AppleSupport Wieso verfügt Digitale Tastatur in iOS 11 über Weniger Funktionsknöpfe als IOS 10? Für mich „undo button“ ist so wichtig ... ich habe darüber Ihrem Support Team vielmals gesprochen aber trotzdem keine vernünftige Antwort :(,@416817 We offer support via Twitter in English. Contact us for help in your preferred language here: <URL>,ios_update_issue,,,,
2057067_2057066,"Iphone SE freezes and Serious connectivity issues i.e Surfing, browsing, using apps on ios 11.0. 2.@AppleSupport","@608383 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. <URL>",ios_update_issue,,,,
999861_1542683,@AppleSupport IOS 11.1 se come la batería en iPhone 6. NO ACTUALICÉIS!!! No vuelvo a comprar iPhone en mi vida,@477930 We offer support via Twitter in English. Get help in Spanish here: <URL> or join <URL>,ios_update_issue,,,,
112836_112835,@AppleSupport And its running on the latest update of iOS. I can't make calls only receive them. Im getting notifications but i can't open them.,@141082 Thanks for those details. What happens when you try to open notifications? Have you tried a restart? You can do that by following the steps here: <URL> let us know the results in DM. <URL>,ios_update_issue,,,,
2547268_2547267,@AppleSupport Your Perth (AUS) store has been incorrectly emailing me for months. Sadly it's a no reply email address. I did send it to your phishing email who ignored me. Please get them to use the contact details the customer provided to them. I'm in the UK. Ref: R242850483.,@706362 Hi there. Thanks for reaching out. We can definitely look into this further with you. Send us a DM and let us know which email address you'd like to use. <URL>,app_issue,,,,
269176_269175,"@AppleSupport hi, I have some problems with my appletv 4, I can’t download anything on App Store but have 10 mb of internet <URL>",@180183 We'd like to help out. Our Apple TV experts are here for you: <URL>,app_issue,,,,
2481790_2481789,@115858 iPhone 7 battery issues after giving to the service station still the same condition😒 not satisfied. Pls reply.,@663224 We'd like to look into this with you. Meet us in DM so we can gather more information. <URL>,battery_issue,,,,
1710684_1710683,@AppleSupport iPhone X 10.1 is unusable due to this error. Comes up every 5 mins. Logging out and back in doesn’t help. <URL>,@518235 Thanks for reaching out about this so we can assist. Did your recently restore this phone from a backup? Let us know in DM. <URL>,app_issue,,,,
2060170_2060169,@AppleSupport This new update on my iPhone has really slowed my phone down and causes it to keep freezing 😡,@609317 We'd like to help get your phone back to working as it should. Let's continue talking in DM by clicking here: <URL>,device_performance,,,,
151529_151530,@AppleSupport No just volume with a line comes on screen with mute underneath.,@150607 Can you let us know which iOS software version your iPhone is running? You can check by going to Settings &gt; General &gt; About.,screen_display_issue,,,,
726700_726702,@AppleSupport my iphone's screen stopped responding in the middle of nowhere as if it got busy. its been 15 long hours yet NO hope. how come?,@294072 We want to help. Let's discuss it in DM. <URL>,screen_display_issue,,,,
1700840_1700842,@AppleSupport That didn't even work for me.,@515739 Let's take a closer look. Can you DM us? Here's a link: <URL>,app_issue,,,,
2143948_2143947,Yo i did the keyboard shit and that dumb ass ? Shit still popping up. I want my money back @115858 or give me the X and we call it even.,"@630345 If the work around is not working, keep an eye out for a future software update that will address this.",general_support,,,,
1351689_1351688,My @115858 iPhone has been sluggish since the latest update. So bad it makes me want to throw it against the wall.,@435209 Let's look into this for you. Send us a DM with your current iOS version to get started. <URL>,ios_update_issue,,,,
2690821_2690818,@115948 @AppleSupport hello please i'm begging you... i have a family to feed,@756459 We'd be happy to help. What happens when you try to get Apple Music on iCloud Music Library?,app_issue,,,,
1267181_1267179,@115858 @AppleSupport iPhone X has wireless charger in the box or need to buy separately ?,"@142826 Wireless charger is not included with iPhone X. Please check this out: <URL> under ""In the Box"".",product_information,,,,
866274_866272,@AppleSupport Why is the 1st track of this album that I purchased missing? It’s the same on both my Mac and my iPhone. <URL>,@325691 We want to check this out. Send us a DM and we will go from there. <URL>,app_issue,,,,
1639198_1639197,When you try to type “i” but it shows up as “! [A]” @AppleSupport what’s up <URL>,@116484 We'd be happy to help. Check out these steps to help: <URL>,app_issue,,,,
2974422_2974421,"My perfectly good IPhone 6 slows down a little more after each software update. @115858 are you building obsolescence into each update, or am I being too cynical? You may find reliability and longevity to be a good USP for a tech company to have.","@820325 We'd like some details to assist. Are you currently running iOS 11.1.2? Also, is this happening with a specific app or any? Let us know in a DM and we'll continue. <URL>",ios_update_issue,,,,
658019_658020,"@AppleSupport No new updates, and no.",@276645 Which exact OS X El Capitan version number is installed and have you tried any steps since this started? Please DM us both details here: <URL>,ios_update_issue,,,,
661512_661510,"I’m an @115858 fanboy, so it hurts to say this. iPhones have turned into garbage📱🚮. Since I updated my phone there hasn’t been a day it hasn’t glitched.",@277619 That's not the type of experience that we want you to go through. What's going on with your iPhone? We want to help.,ios_update_issue,,,,
2304639_2304638,"Every time I receive a Snapchat notification, my music pauses 🙃 #iOS11struggles @AppleSupport","@275677 Let's look into this for you. Are you experiencing this with our Music App or a 3rd party music App? Also, what iOS 11 version are you currently using? Let us know in DM. <URL>",ios_update_issue,,,,
2466445_2466443,Anyone else’s iPhone Alarm app crash everytime they try set an alarm!? 😫 #howdoiwakeupforwork @AppleSupport,@153201 That should not be happening. Let us help. Which iOS version are you using? You can check in Settings &gt; General &gt; About.,device_performance,,,,
1734454_1734453,Seriously wtf @AppleSupport <URL>,@523772 Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,app_issue,,,,
689401_689399,"@284741 @115858 @AppleSupport Me compré el iPhone 8plus y el flash no funciona con el frío. Teniendo en cuenta que aún no hace frío aquí (hoy estamos a -3, pero llega a los -15/-20)me parece un gran error! Y lo mandé al SAT el viernes pasado, después de usarlo 5 días y sin respuesta aún.",@137148 We offer support via Twitter in English. Get help in Spanish here: <URL> or join <URL>,app_issue,,,,
540941_2978943,@AppleSupport IT JUST FREEZES THE SCREEN WHEN I PLAY about like 4-5 Mins IT FREEZES LIKE CRAZY WEIRD SOUND AND SHIT,@821586 That’s not what we’d like to hear! Go ahead and let us know more about the apps you are using when it hangs up in DM. The details you share with us are important and help us determine where to get started. <URL>,device_performance,,,,
1742479_1742478,👁’ve had it with this issue typing capital 👁’s @115858. FIX IT. @AppleSupport,@525619 Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,app_issue,,,,
1867360_1867359,@AppleSupport The worst thing I made was download the lastest version of software.,"@557837 Hey, are you experiencing a particular issue? If so, let us know and we'll help you. We want you to enjoy the update. <URL>",app_issue,,,,
2369414_2369412,Hey @AppleSupport have you tried turning it off and on again?? <URL>,@683804 We are here to help and can take a look at this with you! Which device is this error on and which OS or macOS is installed on the device?,app_issue,,,,
1232327_1232329,"@AppleSupport Just updated to latest update, apps are freezing phone for 30-40 seconds in some cases complely@crashing forcing a hard reboot",@409019 Let's take a look at this for you. Reach out to us in DM. <URL>,device_performance,,,,
1654976_1654975,@115858 pls fix this while typing the letter “I️”,@505089 Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,general_support,,,,
2522550_2522548,The @115858 #iPhone update literally purged all of my music from my device. WTF?Awesome. 🙄,@718416 We'd like to look into this with you. Could you tell us which version of iOS you're running now? Are you subscribed to the Apple Music service?,ios_update_issue,,,,
711150_711149,@115858 WTF am I suppose to do?!?! <URL>,@290071 We're here to help. Let's take this to DM so we can better assist you. <URL>,general_support,,,,
862754_862752,"Por qué con el nuevo IOS, se activa el wifi y Bluetooth automáticamente, sin que yo los active? @12228 @AppleSupport",@324862 We offer support via Twitter in English. Get help in Spanish here: <URL> or join <URL>,connectivity_issue,,,,
